corruption,size_bin,class_name,mean_AP50_95_over_severity,clean_AP50_95,absolute_drop,rPC_corruption,severity_conditions
gaussian_noise,ALL,all_macro,0.08525178720271755,0.6069524313063762,0.5217006441036587,0.1404587621788178,5
gaussian_noise,ALL,hat,0.13627285253233837,0.7125204886571556,0.5762476361248172,0.1912546441845674,5
gaussian_noise,ALL,person,0.034230721873096705,0.5013843739555969,0.46715365208250015,0.06827241464076464,5
gaussian_noise,ES,all_macro,0.02123830494204643,0.3141471092881632,0.29290880434611677,0.06760624024257629,5
gaussian_noise,ES,hat,0.01749738179321334,0.22565674694100948,0.20815936514779615,0.07753981226090907,5
gaussian_noise,ES,person,0.024979228090879515,0.40263747163531693,0.37765824354443744,0.062039004937682725,5
gaussian_noise,S,all_macro,0.08131871763889162,0.5541587548627844,0.4728400372238928,0.14674263814351718,5
gaussian_noise,S,hat,0.11018559934417545,0.5744331893389237,0.4642475899947483,0.19181621359827866,5
gaussian_noise,S,person,0.052451835933607804,0.5338843203866451,0.4814324844530373,0.09824569467711954,5
gaussian_noise,M,all_macro,0.16372148629821678,0.6939112923987594,0.5301898061005426,0.2359400806582255,5
gaussian_noise,L,all_macro,0.19874933183748958,0.8156218251468484,0.6168724933093589,0.2436782902440182,5
shot_noise,ALL,all_macro,0.09699272762162019,0.6069524313063762,0.5099597036847561,0.15980284882104773,5
shot_noise,ALL,hat,0.1307834391302719,0.7125204886571556,0.5817370495268837,0.18355042586459736,5
shot_noise,ALL,person,0.06320201611296845,0.5013843739555969,0.43818235784262843,0.1260550176590978,5
shot_noise,ES,all_macro,0.029571176271125422,0.3141471092881632,0.28457593301703776,0.09413161985838983,5
shot_noise,ES,hat,0.017120940118652738,0.22565674694100948,0.20853580682235676,0.07587160743360553,5
shot_noise,ES,person,0.042021412423598116,0.40263747163531693,0.3606160592117188,0.10436537924035645,5
shot_noise,S,all_macro,0.09452046860913885,0.5541587548627844,0.45963828625364556,0.17056568678147677,5
shot_noise,S,hat,0.10877344389648921,0.5744331893389237,0.4656597454424345,0.1893578677472818,5
shot_noise,S,person,0.08026749332178847,0.5338843203866451,0.4536168270648567,0.15034622718205665,5
shot_noise,M,all_macro,0.16939512884738522,0.6939112923987594,0.5245161635513742,0.24411640321028458,5
shot_noise,L,all_macro,0.20044433229268127,0.8156218251468484,0.6151774928541671,0.24575645981100655,5
impulse_noise,ALL,all_macro,0.06485137972993751,0.6069524313063762,0.5421010515764387,0.10684754914047287,5
impulse_noise,ALL,hat,0.11175494475935652,0.7125204886571556,0.600765543897799,0.15684453505326468,5
impulse_noise,ALL,person,0.01794781470051854,0.5013843739555969,0.48343655925507834,0.03579651786696491,5
impulse_noise,ES,all_macro,0.011358457121161758,0.3141471092881632,0.30278865216700146,0.036156490972968934,5
impulse_noise,ES,hat,0.009284776446918037,0.22565674694100948,0.21637197049409146,0.041145574297165755,5
impulse_noise,ES,person,0.013432137795405478,0.40263747163531693,0.38920533383991146,0.03336037686917387,5
impulse_noise,S,all_macro,0.06644377556191422,0.5541587548627844,0.4877149793008702,0.1199002541760193,5
impulse_noise,S,hat,0.09676379388487005,0.5744331893389237,0.4776693954540537,0.16845091070769944,5
impulse_noise,S,person,0.03612375723895838,0.5338843203866451,0.49776056314768674,0.06766214301404683,5
impulse_noise,M,all_macro,0.14805017964125286,0.6939112923987594,0.5458611127575065,0.21335606044032374,5
impulse_noise,L,all_macro,0.1860714005446719,0.8156218251468484,0.6295504246021766,0.2281344059315366,5
defocus_blur,ALL,all_macro,0.28919222276186807,0.6069524313063762,0.31776020854450815,0.47646604222249206,5
defocus_blur,ALL,hat,0.42809660636444136,0.7125204886571556,0.2844238822927142,0.6008200650780573,5
defocus_blur,ALL,person,0.15028783915929472,0.5013843739555969,0.35109653479630215,0.29974575787757674,5
defocus_blur,ES,all_macro,0.05266228299168766,0.3141471092881632,0.2614848262964755,0.16763573954577188,5
defocus_blur,ES,hat,0.01749990834922722,0.22565674694100948,0.20815683859178227,0.07755100871768747,5
defocus_blur,ES,person,0.0878246576341481,0.40263747163531693,0.31481281400116884,0.21812340832920293,5
defocus_blur,S,all_macro,0.1676975615107115,0.5541587548627844,0.38646119335207296,0.30261646150882376,5
defocus_blur,S,hat,0.20456864619473936,0.5744331893389237,0.3698645431441844,0.3561226091935314,5
defocus_blur,S,person,0.13082647682668364,0.5338843203866451,0.4030578435599615,0.24504648634733758,5
defocus_blur,M,all_macro,0.3638676873278969,0.6939112923987594,0.33004360507086244,0.5243720505974973,5
defocus_blur,L,all_macro,0.5961566830608847,0.8156218251468484,0.2194651420859638,0.7309229163326395,5
glass_blur,ALL,all_macro,0.2869034766381272,0.6069524313063762,0.320048954668249,0.47269516001543893,5
