severity,size_bin,class_name,mean_AP50_95_across_corruptions,clean_AP50_95,absolute_drop,retention_ratio,corruption_conditions
1,ALL,all_macro,0.3707591707636167,0.6069524313063762,0.23619326054275952,0.610853753342106,15
1,ALL,hat,0.5280293263689796,0.7125204886571556,0.18449116228817597,0.7410724811073498,15
1,ALL,person,0.21348901515825375,0.5013843739555969,0.2878953587973431,0.42579909994793846,15
1,ES,all_macro,0.08547236125259378,0.3141471092881632,0.22867474803556942,0.2720775035819001,15
1,ES,hat,0.051030889830126464,0.22565674694100948,0.17462585711088302,0.22614386904844822,15
1,ES,person,0.11991383267506107,0.40263747163531693,0.2827236389602559,0.29782084659937286,15
1,S,all_macro,0.2777991130914581,0.5541587548627844,0.2763596417713263,0.5012987896586495,15
1,S,hat,0.32969707629666833,0.5744331893389237,0.2447361130422554,0.5739519972306865,15
1,S,person,0.2259011498862477,0.5338843203866451,0.3079831705003974,0.4231275226862769,15
1,M,all_macro,0.4995460710848433,0.6939112923987594,0.1943652213139161,0.7198990368898288,15
1,L,all_macro,0.6548783969789087,0.8156218251468484,0.16074342816793974,0.8029191676681792,15
2,ALL,all_macro,0.3041240140911868,0.6069524313063762,0.30282841721518944,0.5010672968828948,15
2,ALL,hat,0.4389111441481492,0.7125204886571556,0.27360934450900637,0.6159979272671002,15
2,ALL,person,0.1693368840342243,0.5013843739555969,0.33204748992137256,0.33773865487323895,15
2,ES,all_macro,0.06623083128636617,0.3141471092881632,0.24791627800179702,0.2108274414379967,15
2,ES,hat,0.03707450657177899,0.22565674694100948,0.1885822403692305,0.16429602515483793,15
2,ES,person,0.09538715600095338,0.40263747163531693,0.30725031563436356,0.23690580912287496,15
2,S,all_macro,0.22536300918585342,0.5541587548627844,0.32879574567693104,0.4066758978510692,15
2,S,hat,0.27210317604814427,0.5744331893389237,0.30233001329077946,0.4736898582780173,15
2,S,person,0.17862284232356268,0.5338843203866451,0.35526147806308245,0.3345721825922926,15
2,M,all_macro,0.42118448194903885,0.6939112923987594,0.2727268104497205,0.6069716497811412,15
2,L,all_macro,0.5700197552484454,0.8156218251468484,0.24560206989840305,0.6988775161157762,15
3,ALL,all_macro,0.2484713253080538,0.6069524313063762,0.3584811059983224,0.4093752862530852,15
3,ALL,hat,0.3615569319088182,0.7125204886571556,0.35096355674833735,0.5074337337165178,15
3,ALL,person,0.1353857187072893,0.5013843739555969,0.36599865524830755,0.2700238095558981,15
3,ES,all_macro,0.04707390331902838,0.3141471092881632,0.2670732059691348,0.149846686241025,15
3,ES,hat,0.019516114031110723,0.22565674694100948,0.20614063290989876,0.08648584319179504,15
3,ES,person,0.07463169260694605,0.40263747163531693,0.3280057790283709,0.18535704663509964,15
3,S,all_macro,0.17550440538940665,0.5541587548627844,0.3786543494733778,0.316704200464835,15
3,S,hat,0.20791891686001457,0.5744331893389237,0.36651427247890916,0.36195491611355946,15
3,S,person,0.14308989391879876,0.5338843203866451,0.39079442646784635,0.26801666288901577,15
3,M,all_macro,0.35102104321360744,0.6939112923987594,0.34289024918515193,0.5058586696293329,15
3,L,all_macro,0.49837014343469765,0.8156218251468484,0.3172516817121508,0.611030906811461,15
4,ALL,all_macro,0.20082238812658348,0.6069524313063762,0.40613004317979273,0.3308700612572598,15
4,ALL,hat,0.29303161451291465,0.7125204886571556,0.4194888741442409,0.41126061520725343,15
4,ALL,person,0.10861316174025237,0.5013843739555969,0.3927712122153445,0.2166265392025785,15
4,ES,all_macro,0.037318134580288084,0.3141471092881632,0.2768289747078751,0.11879190823957775,15
4,ES,hat,0.011452083351065108,0.22565674694100948,0.2142046635899444,0.05075001526127148,15
4,ES,person,0.06318418580951107,0.40263747163531693,0.33945328582580586,0.1569257465105961,15
4,S,all_macro,0.12993812995772905,0.5541587548627844,0.4242206249050554,0.23447816860694207,15
4,S,hat,0.15073037218503665,0.5744331893389237,0.4237028171538871,0.2623984389873121,15
4,S,person,0.1091458877304215,0.5338843203866451,0.42473843265622363,0.2044373351354031,15
4,M,all_macro,0.2688114992316192,0.6939112923987594,0.4250997931671402,0.3873859701898977,15
4,L,all_macro,0.41087174778286123,0.8156218251468484,0.4047500773639872,0.5037527627572814,15
5,ALL,all_macro,0.1681945397324706,0.6069524313063762,0.43875789157390566,0.2771132152324631,15
5,ALL,hat,0.2411784443075553,0.7125204886571556,0.47134204434960025,0.3384863286697759,15
5,ALL,person,0.09521063515738586,0.5013843739555969,0.406173738798211,0.18989549755257792,15
5,ES,all_macro,0.029522546891855708,0.3141471092881632,0.2846245623963075,0.09397682174683022,15
5,ES,hat,0.00988458545888648,0.22565674694100948,0.215772161482123,0.04380363358455433,15
5,ES,person,0.04916050832482493,0.40263747163531693,0.353476963310492,0.12209620760124221,15
5,S,all_macro,0.10832887374626674,0.5541587548627844,0.44582988111651767,0.19548346533492936,15
5,S,hat,0.1234006991859231,0.5744331893389237,0.4510324901530006,0.21482167374057304,15
5,S,person,0.09325704830661043,0.5338843203866451,0.4406272720800347,0.1746765071487258,15
5,M,all_macro,0.22062315688456027,0.6939112923987594,0.4732881355141991,0.3179414419412246,15
5,L,all_macro,0.3445457907521643,0.8156218251468484,0.47107603439468415,0.4224332651840583,15
