corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
brightness,1,ALL,all_macro,0.7309479055218868,0.45417800511412426,0.850543094166631,0.6862596580996605,0.6069524313063762,0.15277442619225196,0.748292587174538
brightness,1,ALL,hat,0.8389658044514696,0.6304069502936012,0.9137380191693291,0.7859424920127795,0.7125204886571556,0.0821135383635544,0.8847562425632015
brightness,1,ALL,person,0.622930006592304,0.27794905993464736,0.787348169163933,0.5865768241865413,0.5013843739555969,0.22343531402094952,0.5543632278401697
brightness,1,ES,all_macro,0.32566245684685247,0.10743630142721484,0.6019000316716625,0.312598160132998,0.3141471092881632,0.20671080786094836,0.3419936018849846
brightness,1,ES,hat,0.20150535926105645,0.07223939350364261,0.5117370892018779,0.15492957746478872,0.22565674694100948,0.15341735343736687,0.320129552884706
brightness,1,ES,person,0.4498195544326485,0.14263320935078708,0.6920629741414471,0.4702667428012073,0.40263747163531693,0.2600042622845299,0.35424723081903076
brightness,1,S,all_macro,0.7122997671168465,0.3605787993948758,0.9030312794284931,0.6741752901237754,0.5541587548627844,0.19357995546790863,0.6506777998737183
brightness,1,S,hat,0.7181590597560777,0.4106397246366906,0.945054945054945,0.7087912087912088,0.5744331893389237,0.16379346470223316,0.7148607222874221
brightness,1,S,person,0.7064404744776154,0.3105178741530611,0.8610076138020412,0.6395593714563421,0.5338843203866451,0.22336644623358404,0.5816201418467966
brightness,1,M,all_macro,0.9147074466480751,0.6106369354238512,0.9611824389680736,0.8666562788622351,0.6939112923987594,0.08327435697490815,0.8799927917485826
brightness,1,L,all_macro,0.9517314011694418,0.7586996584547961,0.9611575562700965,0.892668810289389,0.8156218251468484,0.0569221666920523,0.9302100986792454
brightness,2,ALL,all_macro,0.6905830338097975,0.4280928693790558,0.8289717921314371,0.6400778407590383,0.6069524313063762,0.17885956192732044,0.7053153547101683
brightness,2,ALL,hat,0.8070762697471817,0.606373631536166,0.9041533546325878,0.7614483493077743,0.7125204886571556,0.10614685712098959,0.8510262388088823
brightness,2,ALL,person,0.5740897978724132,0.24981210722194563,0.7537902296302864,0.5187073322103023,0.5013843739555969,0.25157226673365124,0.49824470047020103
brightness,2,ES,all_macro,0.2864214930507162,0.09302848260039709,0.5832380694149397,0.28647669796684777,0.3141471092881632,0.2211186266877661,0.2961303155429109
brightness,2,ES,hat,0.16356548069747845,0.060909290443916506,0.5070422535211268,0.1596244131455399,0.22565674694100948,0.164747456497093,0.26992009443368975
brightness,2,ES,person,0.4092775054039539,0.12514767475687769,0.6594338853087528,0.41332898278815566,0.40263747163531693,0.2774897968784392,0.31081974126399337
brightness,2,S,all_macro,0.6593936852793387,0.3286417430273094,0.8774593096843218,0.6176754761519058,0.5541587548627844,0.225517011835475,0.5930461986632054
brightness,2,S,hat,0.6635485309841931,0.37420473451970515,0.9258241758241759,0.6785714285714286,0.5744331893389237,0.20022845481921858,0.6514329977178931
