corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
gaussian_noise,2,ALL,all,all_macro,24436,0.2080547788827886,0.12351777640798879,0.3511733001881506,0.16538637922209473,98470,0
gaussian_noise,2,ES,all,all_macro,12472,0.07673162613844357,0.026258460268760893,0.23433181408925585,0.07374940017241333,86625,11845
gaussian_noise,2,S,all,all_macro,6537,0.2359905473928604,0.12504959468391363,0.3004182962671542,0.14901632063060866,6977,91493
gaussian_noise,2,M,all,all_macro,4455,0.39012980316665236,0.2415259173839882,0.3383574424003395,0.18169752065599962,3053,95417
gaussian_noise,2,L,all,all_macro,972,0.44741297751386844,0.31706278800685883,0.3694074414331649,0.17255856683509416,1720,96750
gaussian_noise,3,ALL,0,hat,1878,0.09377865134340327,0.05965307767895781,0.2678381256656017,0.08146964856230032,53480,0
gaussian_noise,3,ALL,1,person,22558,0.05859862249484886,0.0180105711687411,0.02021455802819399,0.0022608387268374854,4396,0
gaussian_noise,3,ES,0,hat,213,0.0009647434771269522,0.000472793301033628,0.10328638497652583,0.014084507042253521,48396,5084
gaussian_noise,3,ES,1,person,12259,0.05623675323897715,0.015286992228764867,0.032873806998939555,0.0033444816053511705,4231,165
gaussian_noise,3,S,0,hat,364,0.14902591421526434,0.0821064026657829,0.25,0.08516483516483517,2401,51079
gaussian_noise,3,S,1,person,6173,0.11978862745589099,0.062417033311796745,0.004859873643285275,0.0016199578810950916,130,4266
gaussian_noise,3,M,0,hat,679,0.265168785582991,0.1607610492204472,0.26362297496318116,0.09867452135493372,1004,52476
gaussian_noise,3,M,1,person,3776,0.3316604527296938,0.2106656057946498,0.005561440677966102,0.0,32,4364
gaussian_noise,3,L,0,hat,622,0.256307753861343,0.17005871242486684,0.3392282958199357,0.08360128617363344,1661,51819
gaussian_noise,3,L,1,person,350,0.3368965517241379,0.17275200490728848,0.005714285714285714,0.0,3,4393
gaussian_noise,3,ALL,all,all_macro,24436,0.07618863691912606,0.038831824423849456,0.14402634184689786,0.0418652436445689,57876,0
gaussian_noise,3,ES,all,all_macro,12472,0.028600748358052052,0.007879892764899248,0.0680800959877327,0.008714494323802346,52627,5249
gaussian_noise,3,S,all,all_macro,6537,0.13440727083557766,0.07226171798878982,0.12742993682164264,0.04339239652296513,2531,55345
gaussian_noise,3,M,all,all_macro,4455,0.2984146191563424,0.1857133275075485,0.13459220782057363,0.04933726067746686,1036,56840
gaussian_noise,3,L,all,all_macro,972,0.2966021527927405,0.17140535866607765,0.1724712907671107,0.04180064308681672,1664,56212
gaussian_noise,4,ALL,0,hat,1878,0.010324758266904764,0.006411110235833321,0.07880724174653887,0.006922257720979766,22522,0
gaussian_noise,4,ALL,1,person,22558,0.0334719343413882,0.010526011475234643,0.002349499069066407,0.00013299051334338151,901,0
gaussian_noise,4,ES,0,hat,213,8.64380170208795e-05,2.0581270538373355e-05,0.014084507042253521,0.0,18745,3777
gaussian_noise,4,ES,1,person,12259,0.033660314924691924,0.010693548791076469,0.0042417815482502655,0.0002447181662452076,880,21
gaussian_noise,4,S,0,hat,364,0.020436147512867823,0.008916333364489486,0.054945054945054944,0.0027472527472527475,1297,21225
gaussian_noise,4,S,1,person,6173,0.04308309237748642,0.004308309237748642,0.00016199578810950914,0.0,13,888
gaussian_noise,4,M,0,hat,679,0.08468531891340607,0.04705451051627063,0.06774668630338733,0.011782032400589101,457,22065
gaussian_noise,4,M,1,person,3776,0.0,0.0,0.0,0.0,8,893
gaussian_noise,4,L,0,hat,622,0.045500631846938866,0.024746196803911047,0.1270096463022508,0.006430868167202572,2019,20503
gaussian_noise,4,L,1,person,350,0.0,0.0,0.0,0.0,0,901
gaussian_noise,4,ALL,all,all_macro,24436,0.02189834630414648,0.008468560855533982,0.04057837040780264,0.0035276241171615734,23423,0
gaussian_noise,4,ES,all,all_macro,12472,0.0168733764708564,0.005357065030807421,0.009163144295251894,0.0001223590831226038,19625,3798
gaussian_noise,4,S,all,all_macro,6537,0.03175961994517712,0.006612321301119064,0.027553525366582225,0.0013736263736263737,1310,22113
gaussian_noise,4,M,all,all_macro,4455,0.042342659456703034,0.023527255258135316,0.033873343151693665,0.005891016200294551,465,22958
gaussian_noise,4,L,all,all_macro,972,0.022750315923469433,0.012373098401955523,0.0635048231511254,0.003215434083601286,2019,21404
gaussian_noise,5,ALL,0,hat,1878,0.002075630258350461,0.0008072207187200846,0.01757188498402556,0.0,8501,0
gaussian_noise,5,ALL,1,person,22558,0.003333776713664982,0.0008750997595917776,0.000177320684457842,0.0,792,0
gaussian_noise,5,ES,0,hat,213,0.0,0.0,0.0,0.0,5103,3398
gaussian_noise,5,ES,1,person,12259,0.0034636736611286393,0.000907563622045687,0.0003262908883269435,0.0,753,39
gaussian_noise,5,S,0,hat,364,0.0009150424044041066,9.150424044041066e-05,0.0027472527472527475,0.0,564,7937
gaussian_noise,5,S,1,person,6173,0.0,0.0,0.0,0.0,25,767
gaussian_noise,5,M,0,hat,679,0.024479379172848665,0.015186419253182464,0.007363770250368188,0.0,128,8373
gaussian_noise,5,M,1,person,3776,0.0,0.0,0.0,0.0,12,780
gaussian_noise,5,L,0,hat,622,0.0054845545389747025,0.0019389687299422736,0.04340836012861737,0.0,2706,5795
gaussian_noise,5,L,1,person,350,0.0,0.0,0.0,0.0,2,790
gaussian_noise,5,ALL,all,all_macro,24436,0.002704703486007721,0.000841160239155931,0.0088746028342417,0.0,9293,0
gaussian_noise,5,ES,all,all_macro,12472,0.0017318368305643196,0.0004537818110228435,0.00016314544416347175,0.0,5856,3437
gaussian_noise,5,S,all,all_macro,6537,0.0004575212022020533,4.575212022020533e-05,0.0013736263736263737,0.0,589,8704
gaussian_noise,5,M,all,all_macro,4455,0.012239689586424332,0.007593209626591232,0.003681885125184094,0.0,140,9153
gaussian_noise,5,L,all,all_macro,972,0.0027422772694873513,0.0009694843649711368,0.021704180064308683,0.0,2708,6585
shot_noise,1,ALL,0,hat,1878,0.5779488027910035,0.400864488618771,0.7944621938232161,0.5410010649627263,30342,0
shot_noise,1,ALL,1,person,22558,0.44561187389394713,0.18184716352027594,0.6404379820906109,0.34821349410408725,96411,0
shot_noise,1,ES,0,hat,213,0.1264939053339647,0.05559482055057106,0.4460093896713615,0.14084507042253522,17078,13264
shot_noise,1,ES,1,person,12259,0.35695118464185094,0.11068627788945207,0.5993963618565952,0.3076923076923077,57667,38744
shot_noise,1,S,0,hat,364,0.5055539602877229,0.286755491050118,0.8241758241758241,0.510989010989011,7521,22821
shot_noise,1,S,1,person,6173,0.47928571842503487,0.19933830611430775,0.6536530050218694,0.34294508342783087,26949,69462
shot_noise,1,M,0,hat,679,0.647658444799624,0.44341287416057684,0.8159057437407953,0.5949926362297496,3869,26473
shot_noise,1,M,1,person,3776,0.6717163963264579,0.3702573278959306,0.7476165254237288,0.4827860169491525,10341,86070
shot_noise,1,L,0,hat,622,0.7957910379447405,0.6184710130107522,0.8729903536977492,0.6366559485530546,1794,28548
shot_noise,1,L,1,person,350,0.6523237307312323,0.42066708481991355,0.6885714285714286,0.4085714285714286,607,95804
shot_noise,1,ALL,all,all_macro,24436,0.5117803383424753,0.2913558260695235,0.7174500879569135,0.44460727953340673,126753,0
shot_noise,1,ES,all,all_macro,12472,0.24172254498790782,0.08314054922001156,0.5227028757639783,0.22426868905742148,74745,52008
shot_noise,1,S,all,all_macro,6537,0.4924198393563789,0.24304689858221287,0.7389144145988468,0.42696704720842094,34470,92283
shot_noise,1,M,all,all_macro,4455,0.659687420563041,0.4068351010282537,0.781761134582262,0.5388893265894511,14210,112543
shot_noise,1,L,all,all_macro,972,0.7240573843379864,0.5195690489153328,0.7807808911345889,0.5226136885622417,2401,124352
shot_noise,2,ALL,0,hat,1878,0.28508588732017165,0.1867758318268508,0.5500532481363152,0.27050053248136313,60321,0
shot_noise,2,ALL,1,person,22558,0.20244471357067476,0.07552326886041984,0.30086887135384344,0.0975263764518131,49765,0
shot_noise,2,ES,0,hat,213,0.038710767720633116,0.021120279357278973,0.3380281690140845,0.08450704225352113,48600,11721
shot_noise,2,ES,1,person,12259,0.18083948777106637,0.051466650644090305,0.32833020637898686,0.10000815727220817,38046,11719
shot_noise,2,S,0,hat,364,0.31276230917529335,0.16801507727398837,0.5851648351648352,0.27197802197802196,6698,53623
shot_noise,2,S,1,person,6173,0.21684355225876076,0.09123101469983931,0.22728009071764135,0.07014417625141746,7582,42183
